"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 25 21:42:23 EEST 2022","Mon Jul 25 21:42:38 EEST 2022","15652","","Log In: Invalid Values","","Log In: Invalid Values","Invalid Values: Invalid non Email value","Invalid Values: Invalid non Email value",""
"passed","Mon Jul 25 21:45:59 EEST 2022","Mon Jul 25 21:46:00 EEST 2022","836","","SignUp page: Promo Code","","SignUp page: Promo Code","Promo Code: Expand","Promo Code: Expand",""
"passed","Mon Jul 25 21:45:55 EEST 2022","Mon Jul 25 21:45:56 EEST 2022","1191","","Invalid Credentials: Invalid Values","","Invalid Credentials: Invalid Values","Invalid Values: Invalid Work Email","Invalid Values: Invalid Work Email",""
"passed","Mon Jul 25 21:45:59 EEST 2022","Mon Jul 25 21:45:59 EEST 2022","752","","Invalid Credentials: Password Requirements","","Invalid Credentials: Password Requirements","Password Requirements: Contain at least one upper-case letter","Password Requirements: Contain at least one upper-case letter",""
"passed","Mon Jul 25 21:43:15 EEST 2022","Mon Jul 25 21:43:30 EEST 2022","14212","","Log In: Invalid Values","","Log In: Invalid Values","Invalid Values: Invalid non Email value and Invalid non exist Password","Invalid Values: Invalid non Email value and Invalid non exist Password",""
"passed","Mon Jul 25 21:46:04 EEST 2022","Mon Jul 25 21:46:05 EEST 2022","1033","","SignUp page: Checkboxes","","SignUp page: Checkboxes","Checkbox: Recieve Emails Checkbox Only","Checkbox: Recieve Emails Checkbox Only",""
"passed","Mon Jul 25 21:45:53 EEST 2022","Mon Jul 25 21:45:55 EEST 2022","1361","","Invalid Credentials: Empty fields","","Invalid Credentials: Empty fields","Empty fields: Password only","Empty fields: Password only",""
"passed","Mon Jul 25 21:41:36 EEST 2022","Mon Jul 25 21:41:37 EEST 2022","1104","","LogIn: Links Redirect","","LogIn: Links Redirect","Links Redirect: Sign Up","Links Redirect: Sign Up",""
"passed","Mon Jul 25 21:42:38 EEST 2022","Mon Jul 25 21:42:51 EEST 2022","12346","","Log In: Invalid Values","","Log In: Invalid Values","Invalid Values: Invalid non exist Email","Invalid Values: Invalid non exist Email",""
"passed","Mon Jul 25 21:44:35 EEST 2022","Mon Jul 25 21:44:54 EEST 2022","19437","","Home Page: Network Page","","Home Page: Network Page","Network Page: Delete Network","Network Page: Delete Network",""
"passed","Mon Jul 25 21:41:37 EEST 2022","Mon Jul 25 21:41:44 EEST 2022","6670","","LogIn: Links Redirect","","LogIn: Links Redirect","Links Redirect: Resend Email","Links Redirect: Resend Email",""
"passed","Mon Jul 25 21:43:03 EEST 2022","Mon Jul 25 21:43:15 EEST 2022","11937","","Log In: Invalid Values","","Log In: Invalid Values","Invalid Values: Invalid non exist Email and non exist Password","Invalid Values: Invalid non exist Email and non exist Password",""
"passed","Mon Jul 25 21:45:58 EEST 2022","Mon Jul 25 21:45:59 EEST 2022","754","","Invalid Credentials: Password Requirements","","Invalid Credentials: Password Requirements","Password Requirements: Contain at least one symbol","Password Requirements: Contain at least one symbol",""
"passed","Mon Jul 25 21:46:26 EEST 2022","Mon Jul 25 21:46:33 EEST 2022","6573","","Sign In: Minimal Conditions","","Sign In: Minimal Conditions","Sign In: Valid Conditions + Receive Emails Checkbox","Sign In: Valid Conditions + Receive Emails Checkbox",""
"passed","Mon Jul 25 21:42:00 EEST 2022","Mon Jul 25 21:42:11 EEST 2022","11704","","Log In: Empty fields","","Log In: Empty fields","Empty fields: Without password","Empty fields: Without password",""
"passed","Mon Jul 25 21:42:51 EEST 2022","Mon Jul 25 21:43:03 EEST 2022","12541","","Log In: Invalid Values","","Log In: Invalid Values","Invalid Values: Invalid non exist Password","Invalid Values: Invalid non exist Password",""
